src,data_founded,data_founder,data_hq,data_website
assets/imgs/imgs/1VRue98ZS8dTqCeB6Q_MB-yJXJu6uDuX0.png,2015,"Jim Laird, Craig Johnston","Glasgow, Scotland",https://3fbio.com/
assets/imgs/imgs/1Eqynk8ke-VXr2eDi1QQcNF9vfjGcTmES.png, ,,,https://mycorena.com/
assets/imgs/imgs/1b53iSnF23MaG8h8mSf9ZlFjGTGnZm8u_.png, ,,,https://www.bioscienz.nl/
assets/imgs/imgs/1O037Fj5VIzPA_YjyuQXUfLv7oaTy4Ohv.png,2019,"Lena Günther, Judith Bahls","Berlin, Germany",http://www.inner-elmt.com
assets/imgs/imgs/18im7U4HpX5lLlW7Her2iTgVhWCTBkqt7.png, ,,,
assets/imgs/imgs/1E8mKB7AZf7Zlfy-qxfb1sutdSdE-6QwD.png, ,,,https://fungi.com/
assets/imgs/imgs/1O_7VORXP4tAOHHxU50KV8y-UGEOGQqal.png, ,,,https://www.amadou.de/
assets/imgs/imgs/1QwzCpPS1XMDYEY3y8oQTjxuPnXqbZzvz.png, ,,,https://www.nammex.com/
assets/imgs/imgs/1X1ch0tL96kEMdPMr2P1zS1qBRJqEdASy.png, ,,,https://www.m2ingredients.com/
assets/imgs/imgs/1w5ddYZJYfR0sg35idrxw4VPItub9lLtr.png, ,,,https://ecovativedesign.com/
assets/imgs/imgs/1U7lIqISdPgJWIGByQiFWApm4eknz9jwn.png, ,,,https://us.foursigmatic.com/
assets/imgs/imgs/1J0Ix0vpNbf9b7noVQjZrIoTjQZW5FG1L.png, ,,,https://www.mushlabs.com/
assets/imgs/imgs/1yucKYZ0Epom3v0AvfLULkdju9Jm44huD.png, ,,,https://solti.com/
assets/imgs/imgs/1f0RhGN2UOlewRqYHQPIvu6DeCMvfOw7f.png, ,,,https://mushroomcups.com/
assets/imgs/imgs/1ylqoRWI23q_sx2lnt49ihZOknz_ixqK0.png,2007,"Sebastian Thies, Carmen Thies","Munich, Germany",http://www.nat-2.eu
assets/imgs/imgs/1xn_nc6-J_8NTxSft24f_uBTFtX3APTKQ.png,2017,Nina Fabert,"Berlin, Germany",https://www.zvnder.com/
assets/imgs/imgs/1RF2NIkLhE5ZPlHyy4pPEt49WCHqQutuc.png, ,,,http://www.fungal-futures.com/
assets/imgs/imgs/12-vqTsiyyaFgYeMzYkzR8Es6BUUr4jv4.png,2013,"Sophia Wang, Philip Ross","Emeryville, USA",http://www.mycoworks.com
assets/imgs/imgs/1c-TUFB_s6rN0uOMucY1KZgEZkaXpe8u0.png,2015,"Giada Dammacco, Filippo Pagliai","Florence, Italy",http://lifematerials.eu/
assets/imgs/imgs/1gf8EHS1DoWVX4-OFHD_fFMYEfqxRRWTO.png,2009,"Dan Widmaier, David Breslauer, Ethan Mirsky","Emeryville, USA",http://boltthreads.com
assets/imgs/imgs/1w5ddYZJYfR0sg35idrxw4VPItub9lLtr.png,2007,"Eben Bayer, Gavin McIntyre","Green Island, USA",https://www.ecovativedesign.com/
assets/imgs/imgs/1xn_nc6-J_8NTxSft24f_uBTFtX3APTKQ.png,2017,Nina Fabert,"Berlin, Germany",https://www.zvnder.com/
assets/imgs/imgs/1vaoV7U_mMu-k8X69dWT57BaBEfWGmmSo.png,2004,Aniela Hoitink,"Soest, Netherlands",https://neffa.nl/
assets/imgs/imgs/1DKbvNSEjPgr8Qrc3u8U8CCDvLx9K80JN.png, ,,,https://mogu.bio/
assets/imgs/imgs/19myh7TuutWlXjZRFYnBvJNNchLwxRJZm.png,2016,Jan Berbee,"Hilversum, Netherlands",http://www.grown.bio
assets/imgs/imgs/1RQ_eSCtFy7MiH08hVizcghqndxtn552m.png, ,Ecovative Design,,https://mushroompackaging.com/
assets/imgs/imgs/1DKbvNSEjPgr8Qrc3u8U8CCDvLx9K80JN.png, ,,,https://mogu.bio/
assets/imgs/imgs/1yvU6UwAhWhQ1WOn1LMfILGMg9_MALguQ.png, ,,,https://www.krown-design.com/
