DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1976,217.28,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1977,226.05,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1978,281.11,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1979,330.1,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1980,323.72,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1981,296.53,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1982,290.01,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1983,284.9,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1984,362.52,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1985,348.91,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1986,472.93,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1987,549.7,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1988,712.62,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1989,943.11,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1990,1292.49,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1991,1357.86,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1992,1458.68,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1993,1393.71,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1994,1361.83,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
